Année	B4	B5	C10	C11	C12	C13	C6	C7	C8	C9	D14	D15	D16	D17	D18	D19	D20	D21	D22	D23	D24	D25	E26	E27	E28	E28b	E29	E30	E31	E32	E33	E34	E35	E36	F37	F38	F39	F40	F41	F42	F43	F44	F45	F46	F47	F48	F49	F50	F51	F52	F53	F54	F55	F56	G57	G58	G59	G60	G61	G62	G63	G64	G65	G66	G67	G68	G69	G70	G71	G72	NBIB	F39a	F45a	F47a	F47b	F47c	F47d	G58a	G58b
2013	27475.0	132627.0	85.49999999999999	63.900000000000006	14.149000000000001	7.4	142.0	34.0	76.0	32.0	17.0	9591.0	7235.0	690.0	120.0	47.0	2294.0	465.15	528132.0	57923.0	0.0	164894.0	8526761.0	6069573.0	2457188.0	607753.0	298293.0	374179.0	1406963.0	125019.0	6685361.0	272667.0	0.0	245345.0	695265.0	541192.0	0.0	1067.0	5988.0	0.0	67663.0	79355.0	6789.0	59.0	15598.0	43522.0	39722.0	0.0	26.0	21.0	0.0	1389.0	2364.0	31499.0	176.0	263.0	745543.0	4165.0	6034.0	171.0	0.0	0.0	0.0	0.0	0.0	0.0	660.0	269887.0	17491.0	1233.0	10.0								
2014	24449.0	47109.0	72.4	61.25	2.75	8.4	123.0	25.0	72.0	26.0	15.0	7250.0	5283.0	434.0	79.0	47.0	1862.5	377.5	436362.0	60880.0	0.0	126585.0	7878519.0	5540485.0	2338034.0	483271.0	326161.0	304797.0	1223805.0	143307.0	6490593.0	177758.0	0.0	595756.0	610364.0	516617.0	0.0	1015.0	4029.0	0.0	55843.0	32860.0	3971.0	59.0	295.0	128216.0	79234.0	0.0	0.0	0.0	0.0	4737.0	44245.0	26231.0	188.0	243.0	600956.0	3328.0	6539.0	130.0	0.0	0.0	0.0	0.0	0.0	20.0	280.0	160429.0	24213.0	2774.0	8.0								
2015	27006.0	136948.0	84.33	69.25	5.65	9.43	142.0	28.0	77.0	35.0	16.0	8810.0	6658.0	636.0	117.0		2125.0	436.8	532753.0	65170.0	0.0	164217.0	9334407.0	6794301.0	2540106.0	591062.0	245866.0	400011.0	1303167.0	220101.0	6835363.0	226095.0	0.0	487320.0	752158.0	636471.0	0.0	1153.0	6747.0	0.0	69395.0	38392.0	271390.0			46727.0	35416.0	0.0	8.0	23.0	0.0	1580.0	2145.0	25713.0	209.0	310.0	750921.0	4843.0	8145.0	143.0	0.0	0.0	0.0	0.0	0.0	20.0	412.0	257972.0			9.0	0.0	88347.0	627.0	359452.0	189821.0	18920177.0	207.0	1829.0
2016	28436.0	41405.0	87.44	71.63999999999999	5.05	10.75	142.0	30.0	71.0	41.0	16.0	8795.0	6861.0	636.0	115.0		2125.0	447.8	537408.0	77224.0	0.0	155569.0	8661095.0	6845788.0	1815307.0	405734.0	0.0	199648.0	1209925.0	204596.0	3858677.0	225172.0	0.0	426578.0	734485.0	630833.0	0.0	1134.0	6265.0	0.0	69045.0	27208.0	259149.0			43823.0	39786.0	0.0	9.0	128.0	0.0	1313.0	2587.0	31557.0	269.0	246.0	739451.0	5743.0	8438.0	164.0	0.0	0.0	0.0	0.0	0.0	5.0	258.0	281525.0			9.0	0.0	100215.0	651.0	465902.0	261340.0	1579379.0	221.0	2870.0
2017	29639.0	112339.0	88.13	72.08999999999999	4.71	11.33	143.0	27.0	77.0	39.0	17.0	8859.0	6925.0	656.0	113.0		2138.0	445.3	557144.0	76288.0	0.0	154058.0	9226830.0	7356867.0	1869963.0	355076.0	0.0	206397.0	1308490.0	280718.0	3790130.0	182513.0	0.0	430641.0	737392.0	633499.0	0.0	1108.0	5370.0	0.0	65193.0	32222.0	383864.0			44526.0	41097.0	0.0	8.0	67.0	0.0	1209.0	2145.0	21648.0	156.0	286.0	773872.0	3988.0	9688.0	149.0	0.0	0.0	0.0	0.0	0.0	5.0	302.0	122245.0			9.0	0.0	142085.0	639.0	564145.0	241204.0	21435528.0	318.0	4328.0
2018	28578.0	140083.0	89.82000000000001	73.25	3.9000000000000004	12.67	141.0	26.0	77.0	38.0	17.0	8977.0	6958.0	649.0	118.0		2111.0	455.3	542823.0	79268.0	0.0	169092.0	8993354.0	7069544.0	1923810.0	286709.0	0.0	230809.0	1406292.0	344557.0	3801398.0	217345.0	0.0	446784.0	769852.0	668070.0	0.0	1080.0	4990.0	0.0	64410.0	31302.0	477715.0			54222.0	50767.0	0.0	3.0	57.0	0.0	1108.0	2287.0	34667.0	130.0	323.0	752876.0	13092.0	12344.0	208.0	0.0	0.0	0.0	0.0	0.0	5.0	539.0	340695.0			9.0	0.0	157151.0	624.0	630582.0	707843.0	23393458.0	459.0	6102.0
2003																																																																															
2004																																																																															
2005																																																																															
2006																																																																															
2007																																																																															
2008																																																																															
2009																																																																															
2010																																																																															
2011																																																																															
2012																																																																															
