Année	B4	B5	C10	C11	C12	C13	C6	C7	C8	C9	CB1	CD1	CD2	CG1	CG11	CG12	CG13	CG14	D14	D15	D16	D17	D18	D19	D20	D21	D22	D23	D24	D25	E26	E27	E28	E28b	E29	E30	E31	E32	E33	E34	E35	E36	F37	F38	F39	F40	F41	F42	F43	F44	F45	F46	F47	F48	F49	F50	F51	F52	F53	F54	F55	F56	G57	G58	G59	G60	G61	G62	G63	G64	G65	G66	G67	G68	G69	G70	G71	G72	NBIB	F39a	F45a	F47a	F47b	F47c	F47d	G58a	G58b
2003	9530.444444444445	160546.91666666666	13.76101818181818	11.407199999999998	1.3678181818181818	1.0227777777777776	22.345454545454544	5.327272727272727	9.454545454545455	7.5636363636363635									2.327272727272727	1943.0709433962263	1063.6590566037735	93.85454545454546	10.654545454545454	3.259259259259259	271.1454545454545	36.554545454545455	61262.32075471698	3919.830188679245	2175.021276595745	125304.57692307692	1905765.3845454543	1250852.1627272728	664946.2194444443		167711.16647058824	81850.44423076922	228172.19145454548	14360.295454545454	1055598.7043636364	281114.12100000004	5810.792452830188	185694.5927272727	206293.8	166390.16363636364	3614.25	1168.3125	23010.666666666668	1210.76	12613.636363636364	1471.6326530612246	14.82	234.85714285714286	884.530612244898	9881.290909090909	7408.472727272727	37.9	87.1590909090909	567.5333333333333	18.51063829787234	1613.2592592592594	313.9811320754717	5314.115384615385	27.072727272727274	62.9622641509434	286580.9636363636	295.3333333333333	393.6666666666667	25.634146341463413	3274.951219512195	163.05555555555554	92.97222222222223	85.22857142857143	3163.1176470588234	3702.641025641026	1521.081081081081	60173.0	3.3333333333333335	17.84090909090909	55.0								
2004	9669.372549019608	162516.16666666666	14.008787924528301	11.585390566037736	1.2535849056603774	1.1679245283018866	23.30188679245283	5.377358490566038	9.471698113207546	8.735849056603774									2.358490566037736	2000.4803921568628	1123.2745098039215	95.38461538461539	11.153846153846153	3.173076923076923	277.0943396226415	36.41509433962264	63430.557692307695	9017.2	2466.9583333333335	115852.08	1976717.1433962267	1282848.203207547	691729.1722641508		173545.94100000002	79122.60549019609	240324.90037735843	16730.11416666667	1949967.9117647058	279222.53076923074	8421.346153846154	212694.08641509435	208154.56603773584	165927.6037735849	3463.0208333333335	1096.061224489796	24506.625	661.204081632653	14015.207547169812	1429.2340425531916	2.9215686274509802	84.18367346938776	829.6666666666666	9759.33962264151	6858.461538461538	6.823529411764706	49.3125	650.96	5.68	1721.7058823529412	169.69387755102042	6213.803921568628	27.69811320754717	71.94117647058823	324074.09433962265	380.28	495.9375	26.80952380952381	3285.525	134.07142857142858	49.76923076923077	43.578947368421055	3183.3947368421054	2892.923076923077	184.0810810810811	60778.68	314.5	15.078947368421053	53.0								
2005	6166.375	130826.91304347826	8.934579999999993	12.346153846153841	1.4980769230769229	1.064423076923077	16.13	5.8076923076923075	10.884615384615385	8.26923076923077									2.423076923076923	1313.6632653061224	1307.7843137254902	64.04	7.96969696969697	3.0	262.72	29.6115	68693.34	4290.958333333333	3170.2916666666665	126979.46	1320736.418105263	918670.3147058823	519099.93870588235		167748.76592105263	69379.05391891891	171601.37643678157	11956.814583333333	1778686.886597938	165359.15376344087	6016.171397849462	156515.15260000003	129486.53	105330.87755102041	3621.6458333333335	630.5393258426966	13988.38202247191	1275.12	9321.96	847.8089887640449	2.9591836734693877	11.425531914893616	214.12244897959184	6697.642857142857	4908.5368421052635	24.098039215686274	26.431818181818183	600.9887640449438	9.627450980392156	1232.2604166666667	69.4090909090909	4111.25	85.15	50.54081632653061	220845.72	349.48	494.44897959183675	22.476190476190474	11846.2	130.66666666666666	354.44736842105266	284.92105263157896	11652.026315789473	2906.6341463414633	257.4117647058824	527351.72	595.0882352941177	7.794871794871795	100.0								
2006	6069.288888888889	115163.05172413793	10.450430107526877	14.318499999999997	2.0457608695652176	1.3768085106382981	17.821052631578947	7.26530612244898	13.0	8.12									2.34	1471.150879120879	1373.810425531915	68.89473684210526	8.414893617021276	3.693877551020408	263.5578947368421	31.664736842105263	68518.28888888888	9477.577777777778	4122.441860465116	174286.6222222222	1530925.0084210525	960971.9293406591	578852.0242105263	192570.04966292137	171105.83226190475	65467.7865	184016.2818478261	15848.885789473681	1141437.2153409088	196723.4467857143	13531.96075949367	167855.64175824178	165169.1052631579	135815.9111111111	1579.1777777777777	950.1547619047619	14302.641975308641	4560.479166666667	11434.20430107527	1081.095238095238	581.0217391304348	17.266666666666666	1273.9787234042553	7117.652631578947	5375.358695652174	23.541666666666668	39.09411764705882	461.32142857142856	38.3469387755102	1300.2043010752689	99.86904761904762	4207.8351648351645	23.989473684210527	49.40659340659341	217635.02197802198	435.72340425531917	406.5217391304348	43.8	803.98	251.73684210526315	210.66666666666666	9.555555555555555	557.6216216216217	3926.2051282051284	297.3142857142857	481248.9285714286	66.26315789473684	131.88888888888889	95.0								
2007	6098.40625	107971.91525423729	9.483899999999998	13.80423076923077	1.4367708333333333	1.003125	16.613861386138613	5.666666666666667	12.941176470588236	7.901960784313726									1.7395833333333333	1378.765306122449	1262.6666666666667	59.94059405940594	7.792079207920792	3.0588235294117645	263.51485148514854	30.93069306930693	64351.96078431373	6097.56	4924.234042553191	164134.24489795917	1417800.2772277228	886343.6138613861	531456.6732673268	170993.26530612246	158077.59574468085	54069.27173913043	169169.44554455444	18270.761904761905	1010174.9381443299	189496.80434782608	9843.59090909091	172247.64	142509.61386138614	120625.16	2210.3541666666665	954.5777777777778	9170.738636363636	4324.64705882353	10046.683168316831	1028.1808510638298	531.1632653061224	14.520833333333334	382.76	7574.19801980198	5144.14	27.705882352941178	29.604395604395606	1171.7303370786517	32.94230769230769	1323.82	88.94505494505495	5298.414141414141	23.405940594059405	50.33673469387755	219970.36633663366	482.08	390.9795918367347	33.90243902439025	793.3396226415094	245.83333333333334	223.65853658536585	1.6153846153846154	576.6410256410256	3216.2558139534885	281.30555555555554	175101.5483870968	24.105263157894736	217.675	101.0								
2008	5990.235849056604	105944.86153846154	9.32081818181818	13.915555555555555	1.399259259259259	1.1698148148148146	16.0	6.09433962264151	12.471698113207546	7.679245283018868									1.679245283018868	1377.6537037037037	1278.2447169811321	59.009009009009006	7.747747747747748	2.9245283018867925	262.5315315315315	30.716216216216218	64637.77777777778	9537.038461538461	7491.52	167772.74509803922	1362400.6297297296	862316.627927928	500084.00090090086	147262.05691588784	158418.8695	56077.60101010102	165393.82468468475	16722.827173913043	981966.7004807693	169256.3849514563	10872.006770833334	154077.34	137544.01801801802	117003.27272727272	2288.1666666666665	930.8404255319149	7741.554347826087	4475.392156862745	9857.162162162162	1684.5102040816328	525.66	252.07843137254903	385.9189189189189	6684.495495495496	4943.194444444444	96.94339622641509	28.621052631578948	260.35483870967744	75.13461538461539	1377.5555555555557	235.96969696969697	4456.592233009709	25.47222222222222	58.990566037735846	215464.1181818182	495.86538461538464	454.5576923076923	43.72093023255814	715.2	225.97727272727272	237.07142857142858	14.75	459.6585365853659	4512.837209302325	328.2368421052632	174231.63333333333	3120.9473684210525	565.4871794871794	111.0								
2009	5616.5504587155965	133083.109375	9.308447368421048	14.348148148148145	1.5856862745098037	1.2984615384615381	16.05263157894737	6.660377358490566	13.18867924528302	7.226415094339623	1666.404255319149	1075.45	302.9886363636364	101496.5	68103.82	139.57777777777778	32182.36	1232.6136363636363	1.6607142857142858	1354.55	1309.7943396226417	57.93859649122807	7.701754385964913	2.943396226415094	260.0570175438597	30.49122807017544	67429.87037037036	10042.692307692309	7327.6	170120.60784313726	1379081.1561403507	874636.1881578948	504444.9684210526	154542.36563636363	160553.08693069307	55023.369417475726	162752.782368421	22006.408163265307	1023576.7350467289	188495.32710280374	8390.046153846155	156999.33070175437	163849.50877192983	115855.26548672566	2190.18	812.2871287128713	37722.74	4397.365384615385	10627.271929824561	1778.6699029126214	1056.3333333333333	629.6	1975.0	7656.19298245614	5189.517543859649	7.849056603773585	32.592233009708735	1171.921568627451	9.679245283018869	1312.929203539823	87.55339805825243	4532.467889908256	28.04385964912281	59.63392857142857	214302.52631578947	501.71153846153845	429.9807692307692	52.08695652173913	557.290909090909	185.2340425531915	145.67441860465115	22.627906976744185	334.27272727272725	4934.232558139535	341.7105263157895	108983.0	236.43589743589743	678.7857142857143	114.0								
2010	5225.384615384615	110160.59210526316	9.093857142857136	14.44254545454545	1.5191509433962265	1.0998113207547169	15.714285714285714	6.267857142857143	12.767857142857142	7.214285714285714	1743.0566037735848	1031.9722222222222	271.59375	100525.57407407407	67414.75925925926	150.59183673469389	31688.962962962964	1360.8039215686274	1.6666666666666667	1335.3299145299145	1312.3472727272729	56.7563025210084	7.588235294117647	2.9272727272727272	259.78991596638656	30.299579831932775	68032.10909090909	9557.849056603774	3722.153846153846	165810.3076923077	1370512.1722689075	875389.8521008403	495122.32016806724	154447.07911504427	159991.9038095238	53046.67897196262	159595.72806722685	20584.54	980408.4814912281	177037.31654867256	8128.0	144820.31694915253	160402.94957983194	111737.53781512605	2120.9615384615386	768.5925925925926	36052.148148148146	4330.584905660377	10836.307692307691	1863.8288288288288	1195.9615384615386	668.1372549019608	3754.537037037037	7092.697478991597	5522.764705882353	15.314814814814815	27.126126126126128	227.13888888888889	8.584905660377359	1293.8898305084747	47.07079646017699	5123.767241379311	33.12605042016807	66.25641025641026	211167.91596638656	541.7547169811321	420.0188679245283	39.04255319148936	602.0178571428571	206.9777777777778	221.26190476190476	27.047619047619047	324.8837209302326	7629.0	365.375	106621.94444444444	1012.25	830.9761904761905	119.0								
2011	5229.921052631579	117654.64788732394	9.29347826086956	13.472759259259256	1.1372222222222221	1.1740740740740738	16.330434782608695	5.232142857142857	12.160714285714286	7.982142857142857	2343.4242424242425	1335.5882352941176	376.6333333333333	187654.7323943662	99541.7794117647	215.2622950819672	53104.39705882353	1626.7868852459017	1.7043478260869565	1322.4389380530974	1236.8614035087721	58.15652173913043	8.078260869565218	2.526315789473684	261.31304347826085	31.011304347826087	72266.53448275862	7949.571428571428	2586.109090909091	150949.05357142858	1427750.7182608696	920573.8691304347	507176.8486956522	151245.87008928572	183433.88252747254	57496.489320388355	163227.63782608692	20479.87037037037	1777949.8464545456	195436.9716981132	10007.990384615385	144642.58201754384	166501.3304347826	114329.42608695652	2008.1272727272728	777.074074074074	38214.38679245283	4108.0	11515.660869565218	1837.834862385321	1178.9272727272728	483.2037037037037	2966.1401869158876	8379.2	5236.95575221239	8.87719298245614	31.57547169811321	1940.2924528301887	14.290909090909091	1395.6017699115043	35.03669724770642	5330.456140350877	39.86842105263158	68.48672566371681	217411.0695652174	540.7857142857143	374.05357142857144	36.372549019607845	572.9322033898305	193.07692307692307	178.125	31.02127659574468	280.7142857142857	7115.45652173913	328.9767441860465	134984.15384615384	1260.3181818181818	744.5957446808511	115.0								
2012	5198.516949152542	105841.5974025974	9.947881355932196	14.480614035087719	2.2302678571428567	1.2974999999999997	17.016949152542374	6.379310344827586	13.655172413793103	8.086206896551724	2900.9076923076923	1506.7823529411764	387.71311475409834	151134.85714285713	101347.20588235294	192.0	53449.94029850746	1483.9375	1.6837606837606838	1332.5128205128206	1219.1666666666667	59.389830508474574	8.177966101694915	2.7288135593220337	259.22033898305085	31.379661016949154	73148.21666666666	8835.896551724138	2192.448275862069	158030.37931034484	1440051.5508474577	941484.8813559322	498575.1525423729	145369.12280701756	184883.46808510637	53656.280373831774	162175.34745762713	25707.912280701756	1025513.4035087719	189323.88288288287	5219.623853211009	138823.4871794872	174369.62711864407	116613.90677966102	1955.982456140351	796.2897196261682	45085.25471698113	3997.1929824561403	11893.093220338984	1872.1891891891892	1215.9649122807018	445.2857142857143	4519.446428571428	7396.118644067797	5603.620689655172	15.775862068965518	26.654545454545456	468.6320754716981	5.807017543859649	1391.9913793103449	51.027272727272724	5380.061403508772	41.83898305084746	75.7457627118644	211367.4661016949	610.140350877193	458.12068965517244	27.471698113207548	786.8360655737705	335.6111111111111	244.6	27.104166666666668	320.45098039215685	8656.0	298.2826086956522	145069.86666666667	2044.0721649484535	1108.68	118.0								
2013	4969.235294117647	103880.82716049382	9.829243697478988	12.96793103448276	1.8168965517241378	1.2287017543859649	17.025210084033613	5.754385964912281	14.105263157894736	7.5810344827586205	2882.4	1523.1029411764705	387.0245901639344	181494.42253521126	117615.89855072464	522.7846153846153	67506.98529411765	2149.264705882353	1.7394957983193278	1343.5966386554621	1272.7966101694915	60.865546218487395	8.042016806722689	2.76271186440678	257.7647058823529	32.220588235294116	71942.86440677966	9103.438596491229	1693.140350877193	160925.93103448275	1471725.7495798322	934163.6793403361	537612.4907563025	172473.42105263157	183545.21386138615	61931.03703703704	160347.0399159664	25717.821428571428	1069526.9504310344	188579.59292035399	8065.6061946902655	136741.95462184874	175837.00840336134	116711.40336134454	1960.2105263157894	805.4601769911504	44605.44144144144	3968.2758620689656	12044.35294117647	1917.157894736842	1297.298245614035	432.7543859649123	6094.318965517241	8093.042016806723	5214.110169491525	5.172413793103448	29.780701754385966	1567.7837837837837	5.614035087719298	1379.8235294117646	48.85087719298246	5604.153846153846	48.49579831932773	75.91525423728814	208580.1092436975	717.8793103448276	509.1034482758621	26.22222222222222	1266.0666666666666	537.0	483.0	31.0	379.61538461538464	7680.0	295.2391304347826	169819.83720930232	3366.0388349514565	1553.6041666666667	119.0								
2014	4965.111111111111	99671.81818181818	9.643781512605033	12.325000000000005	1.447295081967213	0.9662258064516129	16.840336134453782	5.73015873015873	13.285714285714286	6.828125	3141.09375	1576.1617647058824	363.9344262295082	209930.36231884058	135105.41176470587	509.2063492063492	73329.10606060606	3532.7611940298507	1.7394957983193278	1317.0593220338983	1186.6190476190477	60.89915966386555	7.5	2.2419354838709675	256.43589743589746	33.14831932773109	69933.04761904762	7850.196721311476	2537.6065573770493	151721.6507936508	1482217.857142857	969213.5169491526	521132.18487394956	152237.86842105264	206208.9255319149	61365.908256880735	156730.243697479	26165.55	1185175.5185185184	199790.94495412844	15380.09009009009	136135.29914529916	179019.06722689077	118409.6050420168	1918.4333333333334	946.6814159292036	45947.07272727273	3782.8196721311474	12259.579831932773	2182.7433628318586	1717.8225806451612	1506.6129032258063	15733.447368421053	7474.6016949152545	5180.372881355932	37.698412698412696	29.11304347826087	963.2410714285714	11.984126984126984	1269.6379310344828	76.23275862068965	6165.626086956522	54.13793103448276	75.71551724137932	206621.04201680672	663.4354838709677	503.655737704918	24.24561403508772	1126.921875	431.2142857142857	600.4423076923077	43.8	280.03846153846155	2130.425925925926	315.17021276595744	196846.09302325582	4995.782178217822	1469.195652173913	119.0								
2015	5083.196428571428	96352.17073170732	9.711050420168057	13.711451612903227	1.3876612903225805	1.067868852459016	17.016806722689076	6.032258064516129	13.693548387096774	6.838709677419355	2841.2580645161293	1677.1265714285714	342.3050847457627	211948.14492753622	136011.20289855072	494.07936507936506	74033.79104477612	3761.4848484848485	1.781512605042017	1307.991452991453	1216.55	61.84033613445378	7.739495798319328		255.17672413793105	33.218907563025205	83222.1129032258	7798.819672131148	2026.457627118644	152638.90322580645	1507700.6016949152	989550.3333333334	526367.6186440678	151819.24561403508	223838.97802197802	64838.61538461538	149927.30508474575	16844.48514851485	1169045.6759259258	200730.0093457944	8255.18691588785	131677.7155172414	179570.03361344538	117204.04201680672	2988.883333333333	838.0535714285714	47080.94495412844	3331.2	12563.906779661016	2983.3035714285716	1413.7924528301887			7432.745762711865	5062.478260869565	14.11864406779661	21.46846846846847	719.1192660550458	5.1525423728813555	1327.4396551724137	522.0530973451328	6279.5	57.491379310344826	78.87068965517241	209583.2857142857	644.1147540983607	474.9830508474576	33.27777777777778	1076.7096774193549	447.8363636363636	503.078431372549	22.18	290.20754716981133	5805.075471698113	302.75555555555553	150713.95454545456			119.0	46.40816326530612	251.7319587628866	534.6666666666666	27091.075471698114	6157.196078431372	1908.1521739130435	76.14925373134328	1226.40625
2016	5252.425	95085.72093023256	9.419917355371894	13.58098360655738	1.3532203389830506	1.1874137931034483	16.581967213114755	5.580645161290323	13.758064516129032	6.806451612903226	2876.6825396825398	1727.5530303030303	366.53636363636366	218509.42028985507	140155.8115942029	485.8	71202.39705882352	8031.19696969697	1.7886178861788617	1294.198347107438	1220.639344262295	62.532786885245905	7.704918032786885		261.3388429752066	33.42479674796748	83271.52380952382	8469.467741935483	3337.3278688524592	224696.15873015873	1470536.9008264462	980202.3389830509	514637.0991735537	142409.11570247935	218219.585106383	59621.08181818182	148501.04132231406	18767.296296296296	1205877.6698113207	153681.05357142858	10221.48623853211	122733.43697478992	175930.79674796748	115999.18032786885	2785.098360655738	773.2627118644068	45004.01739130435	3247.5806451612902	12318.585365853658	2653.2203389830506	1583.283185840708			7539.459016393443	5157.295081967213	15.983333333333333	28.663793103448278	310.53097345132744	5.166666666666667	1296.9166666666667	835.1315789473684	5882.008196721312	68.52941176470588	90.40677966101696	209380.61475409835	720.7213114754098	532.5737704918033	19.29090909090909	4889.428571428572	303.68518518518516	4189.538461538462	42.244897959183675	253.0	7313.679245283019	248.41860465116278	116634.375			123.0	47.14545454545455	395.4074074074074	1278.4907407407406	31217.258928571428	7948.532110091744	11680.962264150943	76.38823529411765	1763.4868421052631
2017	5093.268907563025	88527.33333333333	9.031666666666668	13.256666666666671	0.9281666666666669	1.1144999999999998	15.958333333333334	5.133333333333334	13.25	6.883333333333334	2571.451612903226	1740.9848484848485	374.84090909090907	204711.79710144928	132053.02985074627	306.76190476190476	63662.31343283582	3532.2580645161293	1.7355371900826446	1262.8416666666667	1206.7288135593221	61.8099173553719	7.479338842975206		260.52521008403363	33.59297520661157	80148.01639344262	8723.590163934427	2795.8032786885246	221615.6393442623	1415152.440677966	943675.5826086956	495468.6101694915	136589.76923076922	213399.1011235955	61959.828571428574	143999.92372881356	17270.24770642202	1124919.4134615385	204237.24561403508	8100.864864864865	118917.03418803419	163502.90082644628	109588.2479338843	1924.6206896551723	629.3859649122807	40709.48648648649	3420.9137931034484	11970.256198347108	1532.701754385965	2288.8849557522126			7078.571428571428	5156.923728813559	3.0701754385964914	15.247787610619469	215.59459459459458	10.0	1229.162393162393	66.5391304347826	6437.924369747899	71.55084745762711	98.8141592920354	198735.55833333332	723.8474576271186	461.6949152542373	17.203703703703702	475.44262295081967	168.47058823529412	26.708333333333332	35.0625	331.9347826086956	12286.62	256.70454545454544	158817.92105263157			121.0	48.79245283018868	565.0545454545454	111.42990654205607	39901.739130434784	27025.89814814815	23044.77358490566	81.59036144578313	1560.620253164557
2018	5255.1	92288.65476190476	9.555749999999998	13.778548387096773	0.8842622950819672	1.128064516129032	16.581967213114755	5.5	13.870967741935484	6.758064516129032	2784.1846153846154	1780.2838235294118	312.56140350877195	218632.3661971831	141476.22727272726	469.6507936507937	69282.01515151515	7061.46875	1.7804878048780488	1350.4621848739496	1269.0333333333333	65.84297520661157	7.297520661157025		262.02479338842977	34.922357723577235	80718.96825396825	9061.209677419354	2292.048387096774	233560.54098360657	1486025.2166666666	1005067.0170940171	506084.875	126049.42857142857	226218.36559139786	67094.81132075471	147730.6386554622	19541.14285714286	1206531.0576923077	210703.85087719298	6735.247706422018	123472.63247863248	173573.39024390245	115983.56097560975	2995.5423728813557	789.7232142857143	44746.94495412844	3371.233333333333	12418.032786885246	1950.9652173913043	3008.288288288288			7470.025423728814	5016.423728813559	2.7	23.575221238938052	1366.8090909090909	1.9333333333333333	1105.8869565217392	79.44736842105263	5847.728813559322	86.05785123966942	102.61016949152543	206517.41463414635	830.9508196721312	554.2459016393443	18.654545454545456	4310.761904761905	317.125	4512.9607843137255	49.2	414.47058823529414	5323.775510204082	289.4222222222222	174131.7105263158			123.0	49.679245283018865	752.8738738738739	117.03809523809524	74967.92105263157	151486.34513274336	24093.5	79.48809523809524	1673.8433734939758
