Année	Unnamed: 0	Degré primaire 1-2 (1)	Degrés primaire 3-8 (2)	Degré secondaire I	"Enseignement
séparatif (3)"	Formation  professionnelle initiale	Ecoles de formation  générale (4)	Autres	Formation  professionnelle supérieure (5)	Hautes écoles	Hautes écoles spécialisées et pédagogiques	Etudiants cycle 3	Etudiants cycles 1 et 2	Etudiants tous cycles confondus
2003	2003/04	147080.0	465777.0	292730.0	50431	212146.0	80778.0	23433.0	41849.0	109334	43569	194752.0	1272375.0	1467127.0
2004	2004/05	147000.0	459191.0	296161.0	50341	211384.0	84335.0	22852.0	39067.0	111100	49054	199221.0	1271264.0	1470485.0
2005	2005/06	146474.0	454092.0	298436.0	48689	213174.0	87407.0	23886.0	38151.0	112373	54140	204664.0	1272158.0	1476822.0
2006	2006/07	143410.0	449649.0	296113.0	46327	218709.0	89851.0	24544.0	40338.0	115142	57179	212659.0	1268603.0	1481262.0
2007	2007/08	141659.0	445136.0	292348.0	44490	219354.0	91992.0	25897.0	46390.0	116909	60809	224108.0	1260876.0	1484984.0
2008	2008/09	142965.0	440885.0	288979.0	41624	225008.0	93247.0	26378.0	48071.0	120984	63746	232801.0	1259086.0	1491887.0
2009	2009/10	146980.0	436111.0	288604.0	38781	229079.0	95329.0	26872.0	50858.0	126940	69676	247474.0	1261756.0	1509230.0
2010	2010/11	148879.0	436076.0	290927.0	37130	228825.0	99659.0	30331.0	51280.0	131494	75035	257809.0	1271827.0	1529636.0
2011	2011/12	150344.0	435548.0	287242.0	35819	231758.0	100089.0	32235.0	55737.0	134838	79018	269593.0	1273035.0	1542628.0
2012	2012/13	154532.0	435461.0	283763.0	34987	230016.0	102653.0	30495.0	57334.0	138621	84035	279990.0	1271907.0	1551897.0
2013	2013/14	162464.0	452298.0	265819.0	33940	229369.0	104020.0	30464.0	60389.0	142163	87291	289843.0	1278374.0	1568217.0
2014	2014/15	167120.0	466834.0	255001.0	31698	229860.0	105651.0	30856.0	61145.0	143960	89656	294761.0	1287020.0	1581781.0
2015	2015/16	170557.0	477502.0	249074.0	31206	227477.0	106298.0	31277.0	56626.0	145946	92810	295382.0	1293391.0	1588773.0
2016	2016/17	170756.0	486824.0	247652.0	31394	225361.0	107536.0	32492.0	57093.0	148533	95570	301196.0	1302015.0	1603211.0
2017	2017/18	173896.0	511428.0	259381.0	0	223710.0	109087.0	32492.0	59122.0	150671	97233	307026.0	1309994.0	1617020.0
2018	2018/19	176229.0	517905.0	260677.0	0	220894.0	109705.0	32391.0	60598.0	152858	99672	313128.0	1317801.0	1630929.0
